model,roc_auc,pr_auc,precision@0.5,recall@0.5,f1@0.5,brier
rf,0.9878803256158156,0.9808687155116953,0.9440353460972017,0.9496296296296296,0.946824224519941,0.03279740210892422
logreg,0.9498685555203157,0.9383504405215504,0.8441926345609065,0.882962962962963,0.8631426502534395,0.08198541110510316
